symbol,layer,entry_date,entry,exit_date,exit,ret,days,spy_ret,excess,open
LITE,networking,2024-08-15,52.26,2025-03-03,65.69,0.25698439631099923,200,0.06230914951049882,0.1946752468005004,False
CIEN,networking,2024-05-14,48.73,2024-06-04,47.09,-0.03365482054287694,21,0.009726950061433426,-0.043381770604310366,False
CIEN,networking,2024-06-05,48.24,2024-06-07,45.75,-0.051616948421008724,2,-0.0012343448623435282,-0.050382603558665195,False
CIEN,networking,2024-06-12,48.78,2024-06-14,46.7,-0.042640386806245933,2,0.002623078424420555,-0.04526346523066649,False
CIEN,networking,2024-06-21,48.45,2024-06-24,47.11,-0.027657381454839647,3,-0.0032506271036742973,-0.02440675435116535,False
CIEN,networking,2024-06-27,48.15,2024-07-01,47.74,-0.008515053674333695,4,-0.0018848585802868634,-0.006630195094046831,False
CIEN,networking,2024-07-08,48.1,2024-07-09,46.73,-0.02848230717973632,1,0.000972367545504893,-0.029454674725241214,False
CIEN,networking,2024-07-12,48.76,2024-08-02,48.12,-0.013125500649695532,21,-0.048375829879824694,0.03525032923012916,False
CIEN,networking,2024-08-08,48.58,2024-08-12,48.5,-0.0016468058468360747,4,0.004937293518523678,-0.006584099365359752,False
CIEN,networking,2024-08-13,49.68,2025-03-11,63.95,0.28723833273159194,210,0.03221508717707344,0.2550232455545185,False
ALAB,networking,2025-01-03,140.93,2025-02-27,75.75,-0.462499085100587,55,-0.011656480992553009,-0.450842604108034,False
ALAB,networking,2025-05-12,80.28,2026-02-04,144.67,0.8020677674232071,268,0.18726891395222856,0.6147988534709785,False
ALAB,networking,2026-02-06,169.85,2026-02-11,143.71,-0.15390049131771788,5,0.0019403950621659227,-0.1558408863798838,False
CRDO,networking,2024-03-21,21.62,2024-04-18,17.99,-0.16790013539351678,28,-0.04343179703397282,-0.12446833835954396,False
CRDO,networking,2024-05-22,19.48,2025-03-06,42.07,1.1596509591085202,288,0.09140620851520276,1.0682447505933175,False
CRDO,networking,2025-05-02,48.26,2026-02-03,111.31,1.306465010980495,277,0.2272126744434677,1.0792523365370272,False
MRVL,networking,2024-03-27,71.82,2024-07-24,64.02,-0.10859265836320897,119,0.03785764438708017,-0.14645030275028914,False
MRVL,networking,2024-08-15,68.97,2024-09-06,65.86,-0.04514654783067795,22,-0.022980934219202664,-0.022165613611475288,False
MRVL,networking,2024-09-09,68.57,2025-03-06,72.0,0.05000065641604401,178,0.054885793930322224,-0.004885137514278215,False
MRVL,networking,2025-09-25,83.65,2026-02-03,75.5,-0.09742976715840856,131,0.05093462036897889,-0.14836438752738745,False
OKLO,nuclear,2024-03-20,10.83,2024-05-10,8.45,-0.21975993824628537,51,0.0006917767575502776,-0.22045171500383565,False
OKLO,nuclear,2024-10-04,11.19,2024-10-09,9.6,-0.14209108655383085,5,0.0072602324419415165,-0.14935131899577236,False
OKLO,nuclear,2024-10-14,10.04,2025-12-30,71.62,6.133466436125715,442,0.19355327127527233,5.939913164850443,False
OKLO,nuclear,2026-01-08,97.6,2026-01-30,79.62,-0.18422127058031157,22,0.003567673966045515,-0.18778894454635708,False
SMR,nuclear,2024-03-20,4.88,2024-03-21,4.57,-0.06352457694871516,1,0.0033047685628966317,-0.06682934551161179,False
SMR,nuclear,2024-03-27,5.75,2025-03-03,15.45,1.68695648856785,341,0.1266448067161836,1.5603116818516665,False
SMR,nuclear,2025-04-28,16.96,2025-04-29,16.89,-0.004127340719511374,1,0.0062995652280137815,-0.010426905947525156,False
SMR,nuclear,2025-05-01,17.11,2025-05-07,16.61,-0.02922267575475712,6,0.004798995033201026,-0.03402167078795815,False
SMR,nuclear,2025-05-09,17.45,2025-11-07,30.34,0.7386818811506526,182,0.19576716972124708,0.5429147114294055,False
LEU,nuclear,2024-04-03,47.2,2024-04-04,45.48,-0.036440703239429606,1,-0.012206200249475607,-0.024234502989954,False
